mean,std,max,min,label,filename
6.136057587961356e-13,27468.206276563695,272370.4510416667,-294978.5489583333,1,KC.TARG..HHZ_2024-01-23T03_59_38.480_2024-01-23T04_03_38.480.mseed
-2.304053244491418e-14,15384.872440622303,188360.78858333334,-219032.21141666666,1,KC.TARG..HHZ_2023-09-30T21_28_20.728_2023-09-30T21_32_20.728.mseed
-2.6921043172478675e-13,10647.261560882702,159563.02929166667,-132370.97070833333,1,KC.TARG..HHZ_2024-01-23T19_38_29.223_2024-01-23T19_42_29.223.mseed
-3.092281986027956e-14,3798.199406974631,36472.26525,-47128.73475,1,KC.TARG..HHZ_2024-01-24T09_41_37.703_2024-01-24T09_45_37.703.mseed
1.0913936421275139e-14,1637.394332248352,20767.649625,-14762.350375,1,KC.TARG..HHZ_2024-01-23T04_19_39.574_2024-01-23T04_23_39.574.mseed
-1.0822986951097846e-13,1029.4450753830886,10616.328916666667,-8582.671083333333,1,KC.TARG..HHZ_2023-11-07T19_44_38.683_2023-11-07T19_48_38.683.mseed
-9.002784887949626e-12,170587.78954495979,768870.501125,-803745.498875,1,KC.TARG..HHZ_2024-01-22T18_15_21.762_2024-01-22T18_19_21.762.mseed
-6.518045362705986e-14,1770.1013516613834,33344.941791666664,-34403.058208333336,1,KC.TARG..HHZ_2023-01-13T12_29_16.276_2023-01-13T12_33_16.276.mseed
3.3954468866189324e-14,1688.343269413735,15332.811916666667,-15563.188083333333,1,KC.TARG..HHZ_2023-06-01T15_58_40.264_2023-06-01T16_02_40.264.mseed
-1.940255363782247e-13,19626.49745770979,215150.23320833335,-204364.76679166665,1,KC.TARG..HHZ_2024-01-22T21_14_59.988_2024-01-22T21_18_59.988.mseed
-5.820766091346741e-14,43960.73809023169,349259.3383333333,-427021.6616666667,1,KC.TARG..HHZ_2024-01-22T21_41_22.076_2024-01-22T21_45_22.076.mseed
3.055902197957039e-13,24684.168155810446,255359.55633333334,-233411.44366666666,1,KC.TARG..HHZ_2024-01-25T01_22_49.938_2024-01-25T01_26_49.938.mseed
1.6977234433094662e-14,46151.96057452262,607782.0204583333,-744947.9795416667,1,KC.TARG..HHZ_2023-02-26T23_56_31.628_2023-02-27T00_00_31.628.mseed
-9.458744898438453e-14,7232.701276041223,110902.10129166667,-91960.89870833333,1,KC.TARG..HHZ_2024-01-22T22_07_15.347_2024-01-22T22_11_15.347.mseed
7.73070496506989e-14,2450.958383150944,33152.68433333333,-24257.315666666665,1,KC.TARG..HHZ_2024-01-24T03_54_42.730_2024-01-24T03_58_42.730.mseed
-2.0372681319713593e-13,13827.128938889427,116013.77125,-106234.22875,1,KC.TARG..HHZ_2024-01-23T09_05_28.272_2024-01-23T09_09_28.272.mseed
-5.857145879417658e-13,13325.79375149004,109142.693,-115046.307,1,KC.TARG..HHZ_2023-11-07T18_13_28.316_2023-11-07T18_17_28.316.mseed
